generation,best_fitness,avg_fitness,diversity
0,0.36363636363636365,0.03636363636363636,200
1,0.36363636363636365,0.2240909090909091,100
2,0.45454545454545453,0.3377272727272727,79
3,0.45454545454545453,0.39409090909090905,89
4,0.6363636363636364,0.4268181818181818,87
5,0.6363636363636364,0.5268181818181819,82
6,0.7272727272727273,0.6,77
7,0.7272727272727273,0.6554545454545455,77
8,0.8181818181818182,0.6877272727272729,77
9,0.8181818181818182,0.7404545454545455,75
10,0.8181818181818182,0.775,74
11,0.8181818181818182,0.7754545454545455,73
12,0.8181818181818182,0.7795454545454545,72
13,0.9090909090909091,0.7804545454545455,71
14,0.9090909090909091,0.825,73
15,0.9090909090909091,0.8736363636363635,55
16,1.0,0.8672727272727272,65
