generation,best_fitness,avg_fitness,diversity
0,0.14285714285714285,0.03589285714285714,400
1,0.17857142857142858,0.10401785714285713,200
2,0.25,0.15419642857142857,199
3,0.25,0.20732142857142857,198
4,0.32142857142857145,0.23741071428571428,198
5,0.32142857142857145,0.2794642857142857,199
6,0.39285714285714285,0.3055357142857143,198
7,0.42857142857142855,0.34535714285714286,197
8,0.4642857142857143,0.39151785714285714,198
9,0.4642857142857143,0.42401785714285717,196
10,0.5,0.4400892857142857,196
11,0.5357142857142857,0.46232142857142855,198
12,0.5357142857142857,0.4930357142857143,198
13,0.6071428571428571,0.5108928571428571,195
14,0.6071428571428571,0.5440178571428571,200
15,0.7142857142857143,0.5767857142857142,194
16,0.7142857142857143,0.6327678571428571,192
17,0.75,0.6725892857142857,192
18,0.75,0.6942857142857143,196
19,0.7857142857142857,0.712857142857143,191
20,0.7857142857142857,0.7325,193
21,0.8214285714285714,0.7416071428571429,192
22,0.8214285714285714,0.7638392857142857,196
23,0.8571428571428571,0.7791964285714286,190
24,0.8571428571428571,0.7988392857142856,187
25,0.8928571428571429,0.8144642857142856,192
26,0.8928571428571429,0.8341964285714286,193
27,0.8928571428571429,0.8500892857142857,194
28,0.8928571428571429,0.8473214285714286,195
29,0.8928571428571429,0.8491964285714286,195
30,0.8928571428571429,0.849375,196
31,0.8928571428571429,0.8467857142857143,197
32,0.8928571428571429,0.850625,191
33,0.8928571428571429,0.8467857142857143,199
34,0.9285714285714286,0.8495535714285714,197
35,0.9285714285714286,0.8675892857142857,198
36,0.9285714285714286,0.8816964285714286,190
37,0.9285714285714286,0.8825,194
38,0.9285714285714286,0.88125,193
39,0.9285714285714286,0.8817857142857143,196
40,0.9285714285714286,0.883125,190
41,0.9285714285714286,0.884732142857143,190
42,0.9285714285714286,0.8830357142857143,194
43,0.9285714285714286,0.8788392857142857,194
44,0.9285714285714286,0.8841964285714287,193
45,0.9285714285714286,0.8822321428571429,191
46,0.9285714285714286,0.881875,196
47,0.9285714285714286,0.8825892857142857,191
48,0.9285714285714286,0.8833928571428572,193
49,0.9285714285714286,0.8839285714285714,189
50,0.9285714285714286,0.8832142857142857,194
51,0.9285714285714286,0.8824107142857143,192
52,0.9642857142857143,0.8834821428571429,191
53,0.9642857142857143,0.8960714285714286,193
54,0.9642857142857143,0.9108928571428571,197
55,0.9642857142857143,0.9139285714285714,190
56,0.9642857142857143,0.9125892857142857,191
57,1.0,0.9141071428571429,193
