gen,best_fit,avg_fit,diversity
0,45.62,21.206066666666665,300
1,72.41,28.744299999999996,299
2,88.78,33.97233333333334,299
3,102.14,42.078833333333336,300
4,132.56,51.24783333333333,300
5,173.94,64.76583333333333,300
6,289.38,84.74926666666666,300
7,289.38,111.3913,300
8,374.82,139.352,300
9,530.33,180.50459999999998,300
10,676.99,253.18683333333334,300
11,963.78,336.5797333333333,300
12,1366.06,445.8205,300
13,1558.98,582.4330333333334,300
14,1958.73,735.8798333333334,300
15,2766.73,1004.9070666666667,300
16,3853.21,1281.8475,300
17,5153.38,1700.5902666666668,300
18,6004.88,2260.4256,300
19,8473.13,2968.832033333333,300
20,10558.29,4047.0645999999997,300
21,13684.2,5082.9338,300
22,19214.27,6473.063066666667,300
23,25327.26,9180.472099999999,300
24,29563.68,11353.712033333333,300
25,40622.56,14469.990166666666,300
26,61941.7,18798.096233333334,300
