generation,best_fitness,avg_fitness,diversity
0,0.17857142857142858,0.03892857142857143,400
1,0.17857142857142858,0.12205357142857143,200
2,0.25,0.16669642857142858,197
3,0.32142857142857145,0.213125,200
4,0.32142857142857145,0.2734821428571429,199
5,0.35714285714285715,0.30660714285714286,197
6,0.39285714285714285,0.32580357142857147,197
7,0.42857142857142855,0.3564285714285715,197
8,0.4642857142857143,0.3932142857142857,199
9,0.5,0.4245535714285715,197
10,0.5357142857142857,0.45964285714285713,199
11,0.5357142857142857,0.49357142857142855,197
12,0.5714285714285714,0.5072321428571428,193
13,0.6071428571428571,0.5269642857142857,196
14,0.6071428571428571,0.5594642857142857,195
15,0.6428571428571429,0.576875,193
16,0.6428571428571429,0.5971428571428572,194
17,0.6785714285714286,0.6091071428571428,193
18,0.6785714285714286,0.6272321428571428,197
19,0.7142857142857143,0.640625,197
20,0.7142857142857143,0.6634821428571429,195
21,0.75,0.6740178571428572,197
22,0.75,0.6965178571428571,197
23,0.7857142857142857,0.7136607142857143,194
24,0.7857142857142857,0.7325892857142857,192
25,0.7857142857142857,0.7430357142857144,193
26,0.8214285714285714,0.745267857142857,193
27,0.8214285714285714,0.7658035714285714,196
28,0.8214285714285714,0.7758035714285714,191
29,0.8214285714285714,0.7790178571428571,193
30,0.8214285714285714,0.7774107142857143,191
31,0.8214285714285714,0.780625,191
32,0.8214285714285714,0.7803571428571427,190
33,0.8214285714285714,0.7801785714285714,191
34,0.8214285714285714,0.7784821428571428,187
35,0.8214285714285714,0.7810714285714286,189
36,0.8214285714285714,0.7810714285714286,195
37,0.8571428571428571,0.7767857142857143,195
38,0.8571428571428571,0.7967857142857143,194
39,0.8571428571428571,0.8122321428571427,189
40,0.8928571428571429,0.8141071428571428,187
41,0.8928571428571429,0.8341071428571429,192
42,0.9285714285714286,0.8476785714285714,194
43,0.9285714285714286,0.8658928571428571,196
44,0.9642857142857143,0.88125,192
45,0.9642857142857143,0.9011607142857143,195
46,1.0,0.9177678571428572,193
