generation,best_fitness,avg_fitness,diversity
0,0.17857142857142858,0.03616071428571428,400
1,0.17857142857142858,0.11857142857142858,200
2,0.25,0.16696428571428573,197
3,0.25,0.20830357142857142,199
4,0.32142857142857145,0.23723214285714284,196
5,0.32142857142857145,0.27723214285714287,200
6,0.35714285714285715,0.30508928571428573,195
7,0.39285714285714285,0.3275,199
8,0.39285714285714285,0.3575892857142857,199
9,0.42857142857142855,0.370625,194
10,0.4642857142857143,0.3914285714285714,200
11,0.4642857142857143,0.42598214285714286,197
12,0.5,0.43785714285714283,196
13,0.5,0.46089285714285716,200
14,0.5357142857142857,0.474375,197
15,0.6071428571428571,0.4964285714285714,193
16,0.6071428571428571,0.5476785714285713,196
17,0.6071428571428571,0.5721428571428571,191
18,0.6428571428571429,0.5750892857142857,197
19,0.6428571428571429,0.5964285714285714,195
20,0.6785714285714286,0.6103571428571428,191
21,0.6785714285714286,0.6253571428571428,193
22,0.7142857142857143,0.6439285714285714,187
23,0.75,0.666517857142857,195
24,0.75,0.6926785714285714,192
25,0.75,0.7113392857142857,196
26,0.7857142857142857,0.7126785714285714,190
27,0.7857142857142857,0.7291964285714286,194
28,0.7857142857142857,0.745625,191
29,0.7857142857142857,0.7478571428571429,187
30,0.8214285714285714,0.7445535714285714,195
31,0.8214285714285714,0.7629464285714286,195
32,0.8571428571428571,0.77875,194
33,0.8571428571428571,0.7983035714285713,184
34,0.8571428571428571,0.8123214285714286,183
35,0.9285714285714286,0.813392857142857,189
36,0.9285714285714286,0.8542857142857143,187
37,0.9285714285714286,0.8775,196
38,0.9285714285714286,0.8809821428571429,190
39,0.9642857142857143,0.8826785714285714,195
40,0.9642857142857143,0.9005357142857143,196
41,1.0,0.914375,195
