gen,best_fit,avg_fit,diversity
0,26.405418611044144,17.161529142294004,300
1,27.201891326350033,19.157000105254745,299
2,27.201891326350033,19.708287126061954,300
3,28.132708837008703,20.0248847339207,300
4,28.132708837008703,19.821661473815766,299
5,28.132708837008703,19.662757462430918,300
6,28.132708837008703,19.565365021433596,299
7,28.132708837008703,20.12790516164343,300
8,28.132708837008703,20.108467417829903,300
9,28.802253944402697,20.163066496752567,300
10,28.802253944402697,20.214610735018802,298
11,28.802253944402697,20.12426455666767,300
12,28.802253944402697,20.511196564618086,300
13,28.802253944402697,20.33771012367518,298
14,28.802253944402697,20.252071942625022,300
15,28.95288945737685,20.17887763417769,299
16,28.95288945737685,20.817433718002547,300
17,29.27558226897069,21.197710216312966,300
18,29.27558226897069,21.326338416050486,300
19,29.27558226897069,20.792690779751727,300
20,29.27558226897069,20.84748111750372,300
21,30.064462809917345,20.498569277206013,299
22,30.486565125332962,21.106463931367784,299
23,30.486565125332962,20.421187795754687,299
24,31.073956696946922,21.05312141502356,300
25,31.073956696946922,21.21542492220889,300
26,31.073956696946922,20.718620766553393,299
27,31.073956696946922,20.71895794599339,298
28,31.073956696946922,20.895804192298527,300
29,31.073956696946922,20.61121560141734,300
30,31.073956696946922,20.958280971858134,299
31,31.073956696946922,20.983553647012673,297
32,31.073956696946922,21.266074534524464,298
33,31.073956696946922,21.44713181113951,300
34,31.073956696946922,21.04019388374925,299
35,31.073956696946922,21.52599045144299,299
36,31.073956696946922,21.411125352068048,300
37,31.073956696946922,21.80775800246437,299
38,31.073956696946922,20.79230683301316,300
39,31.073956696946922,21.53620823393878,299
40,31.073956696946922,21.55605611316445,298
41,31.073956696946922,22.1348432152888,299
42,31.073956696946922,21.828997301843792,299
43,31.073956696946922,21.548796044657934,299
44,31.073956696946922,21.4142714805113,298
45,31.073956696946922,20.817842632740962,297
46,31.073956696946922,20.697541177535335,297
47,31.073956696946922,20.555759099001268,298
48,31.073956696946922,20.793480047392965,296
49,31.073956696946922,21.158386854802956,297
50,31.073956696946922,21.47589894332655,298
51,31.073956696946922,21.335061507165584,297
52,31.073956696946922,21.4531091908971,297
53,31.073956696946922,21.32517237041576,297
54,31.073956696946922,21.56130543545522,296
55,31.073956696946922,20.82006996194406,297
56,31.073956696946922,21.61246683442168,299
57,31.073956696946922,21.362056585026977,295
58,31.073956696946922,21.250213138830976,298
59,31.073956696946922,21.33592150575248,299
60,31.073956696946922,20.991125902827942,297
61,31.073956696946922,20.88751322803024,294
62,31.073956696946922,21.393670174302382,297
63,31.073956696946922,21.8411889110807,299
64,31.073956696946922,21.750069704445657,299
65,31.073956696946922,21.23492193808508,298
66,31.073956696946922,21.610177283889204,297
67,31.743309883204688,21.501099727124267,295
68,31.743309883204688,21.271942929571185,298
69,31.743309883204688,21.58965319506038,295
70,31.743309883204688,21.522323660626093,295
71,31.743309883204688,21.710421703251626,297
72,31.743309883204688,21.174362034592722,296
73,31.743309883204688,21.472265120677214,297
74,32.01036814425243,21.20980935922691,296
75,32.01036814425243,21.261347583567474,299
76,32.01036814425243,21.457013949031086,297
77,32.01036814425243,21.511484923106472,300
78,32.01036814425243,22.19586868001685,300
79,32.01036814425243,22.00882006180005,299
80,32.01036814425243,21.397438989228107,295
81,32.01036814425243,21.304575345969525,299
82,32.01036814425243,21.710247611227683,296
83,32.01036814425243,21.385771765246844,296
84,32.01036814425243,21.475444766147742,298
85,33.08822546895082,22.057293335844626,298
86,33.08822546895082,21.775681005679242,296
87,33.08822546895082,21.589125739714262,299
88,33.08822546895082,21.946860403115053,298
89,33.08822546895082,21.897945832460024,297
90,33.08822546895082,22.201941245890996,296
91,33.08822546895082,21.789926616207048,297
92,33.08822546895082,21.581252572312945,297
93,33.08822546895082,22.12649737544107,295
94,33.08822546895082,21.94357311388882,297
95,33.08822546895082,22.075037570097475,297
96,33.08822546895082,21.57546690868616,298
97,33.08822546895082,21.413197383780183,295
98,33.08822546895082,21.37039400584947,295
99,33.08822546895082,21.612559767558515,297
100,33.08822546895082,21.720688363445902,297
101,33.08822546895082,22.053409925900837,295
102,33.08822546895082,21.659575473427687,293
103,33.08822546895082,21.95004506980499,295
104,33.08822546895082,21.82822588345378,298
105,33.08822546895082,21.77317387715828,292
106,33.08822546895082,21.028569403521875,294
107,34.16117751519704,21.602381133354097,296
108,34.16117751519704,22.209016869245527,298
109,35.288149716549405,22.204474097660235,300
110,35.288149716549405,21.928657094630584,296
111,35.288149716549405,22.522246141056705,300
112,35.288149716549405,22.44123147140594,297
