generation,best_fitness,avg_fitness,diversity
0,1,0.61,8
1,2,0.9,50
2,2,1.5,38
3,3,1.84,33
4,3,2.38,30
5,3,2.69,30
6,3,2.77,26
7,3,2.89,23
8,4,2.8,32
9,4,3.31,28
10,4,3.63,30
11,4,3.66,31
12,4,3.73,29
13,4,3.76,24
14,4,3.65,32
15,4,3.66,34
16,5,3.7,32
