generation,best_fitness,avg_fitness,diversity
0,0.21428571428571427,0.03517857142857143,400
1,0.21428571428571427,0.13830357142857141,200
2,0.2857142857142857,0.19866071428571427,196
3,0.2857142857142857,0.2425,200
4,0.32142857142857145,0.27151785714285714,192
5,0.35714285714285715,0.2935714285714286,200
6,0.39285714285714285,0.3230357142857143,191
7,0.4642857142857143,0.3598214285714285,200
8,0.4642857142857143,0.4085714285714286,199
9,0.5,0.43785714285714283,196
10,0.5714285714285714,0.4616071428571428,199
11,0.5714285714285714,0.5109821428571428,199
12,0.5714285714285714,0.5429464285714285,194
13,0.6071428571428571,0.5441071428571429,190
14,0.6071428571428571,0.5630357142857142,196
15,0.6071428571428571,0.5734821428571428,195
16,0.6785714285714286,0.5758035714285714,194
17,0.6785714285714286,0.6167857142857143,198
18,0.7142857142857143,0.6435714285714286,193
19,0.7142857142857143,0.661607142857143,197
20,0.7142857142857143,0.6761607142857143,192
21,0.7142857142857143,0.6807142857142857,196
22,0.7142857142857143,0.678125,195
23,0.75,0.68125,193
24,0.75,0.69625,197
25,0.75,0.7110714285714286,187
26,0.7857142857142857,0.714375,194
27,0.7857142857142857,0.729642857142857,194
28,0.7857142857142857,0.743125,197
29,0.7857142857142857,0.745,191
30,0.7857142857142857,0.7467857142857143,193
31,0.8214285714285714,0.7485714285714287,191
32,0.8214285714285714,0.7648214285714287,194
33,0.8214285714285714,0.7779464285714286,193
34,0.8214285714285714,0.7816071428571427,193
35,0.8571428571428571,0.7805357142857143,194
36,0.8571428571428571,0.8016071428571427,193
37,0.8571428571428571,0.8124107142857143,194
38,0.8571428571428571,0.8135714285714286,196
39,0.8571428571428571,0.8158035714285714,186
40,0.8571428571428571,0.8146428571428571,188
41,0.8571428571428571,0.814375,192
42,0.8928571428571429,0.8125,193
43,0.8928571428571429,0.831875,190
44,0.8928571428571429,0.8467857142857143,187
45,0.8928571428571429,0.8453571428571429,194
46,0.8928571428571429,0.8480357142857143,189
47,0.8928571428571429,0.8499107142857143,193
48,0.8928571428571429,0.8496428571428573,187
49,0.8928571428571429,0.8470535714285714,187
50,0.8928571428571429,0.8498214285714286,185
51,0.8928571428571429,0.8505357142857143,189
52,0.8928571428571429,0.8453571428571429,195
53,0.8928571428571429,0.849107142857143,192
54,0.8928571428571429,0.8503571428571429,186
55,0.8928571428571429,0.8476785714285714,189
56,0.8928571428571429,0.8488392857142857,195
57,0.9285714285714286,0.8489285714285714,187
58,0.9285714285714286,0.8633928571428571,193
59,0.9285714285714286,0.8794642857142857,192
60,0.9285714285714286,0.8751785714285714,190
61,0.9642857142857143,0.8791964285714287,194
62,0.9642857142857143,0.9014285714285714,193
63,1.0,0.9149107142857144,191
