gen,best_fit,avg_fit,diversity
0,25.00382984272062,17.76722857279797,300
1,25.23695757583283,18.935668861057643,299
2,25.384454613755885,19.366754356210627,300
3,26.051852667583187,19.538827380220503,300
4,26.051852667583187,19.772082291104848,300
5,27.825544703230648,19.77357455786533,298
6,27.825544703230648,19.805678480365422,300
7,27.825544703230648,20.361207154312126,300
8,27.825544703230648,20.148092820327637,299
9,27.825544703230648,19.536441473333955,298
10,27.825544703230648,19.87054686345087,300
11,27.825544703230648,20.157406628845973,300
12,27.825544703230648,20.098590698466193,299
13,27.825544703230648,20.216678711426216,300
14,27.825544703230648,20.12231778709062,300
15,27.825544703230648,19.94744995011107,300
16,28.4443548937914,20.132844401792955,300
17,28.4443548937914,20.33588040444732,300
18,28.66105643553904,20.56262327516269,298
19,28.66105643553904,20.40364847339765,297
20,28.66105643553904,20.534119840180324,299
21,28.66105643553904,20.632661719446983,300
22,29.892343419165353,20.992521416716496,300
23,30.256824235801073,21.005401041192954,300
24,30.256824235801073,20.761279068702432,299
25,30.571236214841022,21.17620135460615,300
26,30.571236214841022,20.85082307759202,298
27,30.571236214841022,20.934817510845832,299
28,30.571236214841022,20.676314122273165,300
29,30.571236214841022,20.20628982641412,299
30,30.571236214841022,20.05940068628336,299
31,30.571236214841022,20.586271266076025,300
32,30.571236214841022,20.57003146991936,299
33,30.571236214841022,20.540512641828737,300
34,30.571236214841022,20.447018299292303,296
35,30.571236214841022,20.25530527697053,299
36,30.571236214841022,20.678127626642436,298
37,30.571236214841022,20.831324439975567,299
38,30.571236214841022,21.00045214523215,298
39,30.571236214841022,20.615953486957185,299
40,30.571236214841022,20.7792457416367,299
41,30.571236214841022,20.70581762365579,299
42,30.915000838243778,21.04127924833919,299
43,30.915000838243778,20.922903575901156,297
44,31.660106425914766,21.36430173577934,299
45,31.660106425914766,20.826172036371293,299
46,31.660106425914766,21.21269085166161,300
47,31.660106425914766,20.804436090322383,298
48,31.660106425914766,20.841143337425038,299
49,31.660106425914766,21.100878897178475,300
