gen,best_fit,avg_fit,diversity
0,44.6,22.5505,300
1,69.11,28.595933333333335,299
2,110.35,36.064099999999996,300
3,126.33,44.30023333333333,299
4,160.9,57.1846,300
5,209.94,70.9059,299
6,230.07,94.7322,300
7,286.56,115.04223333333333,300
8,410.27,139.90006666666665,300
9,528.43,174.77013333333335,300
10,738.97,235.24793333333335,300
11,1056.81,297.4504,300
12,1056.81,385.3383333333333,300
13,1754.45,528.5139,300
14,2391.64,719.6245666666666,300
15,2647.17,927.8717,300
16,3259.08,1257.3439333333333,300
17,5107.07,1694.6397,300
18,5741.81,2247.163233333333,300
19,7537.96,2762.9917,300
20,8973.29,3563.6934333333334,300
21,12686.0,4372.4599,300
22,15641.15,5867.539333333333,300
23,22061.16,7441.391699999999,300
24,24760.38,9886.386033333334,300
25,40647.12,12941.613733333334,300
