gen,best_fit,avg_fit,diversity
0,45.449999999999996,22.725166666666667,300
1,71.01,28.036866666666665,299
2,94.87,35.3628,299
3,123.96000000000001,42.966800000000006,300
4,129.67,51.976,300
5,181.46,65.63326666666667,300
6,234.18,82.1953,300
7,316.27,107.21423333333334,300
8,406.94,145.34543333333332,300
9,486.19,186.1375,300
10,625.66,238.001,300
11,895.72,333.39816666666667,300
12,1268.26,427.4375,300
13,1284.29,524.3885333333333,300
14,2361.91,695.9316,300
15,3150.16,885.8870666666667,300
16,3326.09,1244.3364333333334,300
17,4515.43,1616.1144666666667,300
18,6425.29,1997.3351333333335,300
19,8411.21,2719.8149,300
20,10472.54,3513.9870000000005,300
21,15133.85,4687.6214,300
22,19200.93,6103.9955666666665,300
23,24586.1,8463.356433333334,300
24,31383.55,10514.1652,300
25,40667.84,13911.597033333333,300
26,54801.86,18679.1479,300
27,76676.28,24636.614766666666,300
28,94591.17,33536.443333333336,300
29,115094.19,45049.05796666667,300
30,196181.28,58049.22296666667,300
31,242191.27,79189.2671,300
32,280063.81,99366.8703,300
33,340793.08,133832.4987,300
34,464159.06,170892.91983333335,300
35,572894.98,227974.23353333335,300
