gen,best_fit,avg_fit,diversity
0,25.18615492212799,17.10620906612184,300
1,25.18615492212799,18.261440425990042,300
2,25.18615492212799,19.54240097782279,300
3,25.349852361843585,19.246956845876216,300
4,25.760112014206673,20.129569955894556,300
5,25.985142112213197,19.78068014702491,300
6,26.761037186978033,19.94389353396534,300
7,26.761037186978033,19.617469319289203,299
8,26.761037186978033,19.457825116361708,300
9,28.096018031555214,19.52390374002081,300
10,28.096018031555214,19.646884919591525,300
11,28.403374086469498,20.035687467187653,297
12,28.673474862000226,20.394955304470553,300
13,28.673474862000226,20.107471063966347,300
14,29.289880393618944,20.31793326144741,300
15,29.289880393618944,19.949901651485522,299
16,29.289880393618944,19.931154712320062,300
17,29.289880393618944,19.988974340795476,299
18,29.289880393618944,19.727599092174728,297
19,29.289880393618944,20.161037931780267,299
20,29.41237123644062,20.598421138164284,299
21,31.02614575507137,20.603032694983096,300
22,31.02614575507137,21.07536479685172,299
23,31.02614575507137,21.11451020277516,299
24,31.02614575507137,20.44665234956295,297
25,31.02614575507137,20.836668657993528,299
26,31.02614575507137,20.673647418875877,298
27,31.02614575507137,21.211907955402683,299
28,31.02614575507137,20.861577993892613,298
29,31.02614575507137,20.98674142623591,298
30,31.183921863260696,21.64953719280724,299
31,31.183921863260696,21.494738444849084,299
32,31.183921863260696,21.288360568787308,298
33,31.183921863260696,21.54822634479156,300
34,31.183921863260696,21.60284149894461,298
35,31.791120825080245,21.353430358966357,297
36,31.791120825080245,21.25348559525884,300
37,31.791120825080245,21.06744453236772,295
38,31.827755183140734,20.548003403011073,296
39,31.827755183140734,21.35972059051073,298
40,31.827755183140734,21.745678683532546,299
41,31.827755183140734,21.584664362419616,300
42,31.827755183140734,21.2263086340301,297
43,31.827755183140734,21.741526510280924,299
44,32.05128685944203,20.98837299501717,299
45,32.05128685944203,21.13993251013118,298
46,32.05128685944203,21.43530993566769,298
47,32.05128685944203,21.31455304576124,300
48,32.05128685944203,21.791378596886734,300
49,32.05128685944203,21.62213624115859,300
50,32.05128685944203,21.66863145375655,297
51,32.071156341779925,21.22401714166862,298
52,32.071156341779925,21.502249519053585,294
53,32.071156341779925,21.921517200993357,298
54,33.12982719759578,21.875272009710237,300
55,33.12982719759578,21.54068204301567,300
56,33.12982719759578,21.666848891348387,299
57,33.12982719759578,21.440845686143007,298
58,33.12982719759578,21.138561363448854,297
59,33.12982719759578,21.472984857014147,296
60,33.12982719759578,21.835737676101203,298
61,33.12982719759578,21.877357652687355,298
62,33.12982719759578,22.30238464837384,299
63,33.12982719759578,21.853627086585018,298
64,33.12982719759578,22.007173660234272,300
65,33.12982719759578,21.76909294494355,298
66,33.12982719759578,21.77973317425592,295
67,33.12982719759578,22.32558521878836,299
68,33.12982719759578,22.143923876741678,299
69,33.12982719759578,21.85778874307746,300
70,33.12982719759578,22.32186880628593,299
71,33.77744813754648,22.72299932754065,300
72,33.77744813754648,21.920634072896778,299
73,33.77744813754648,21.69242184136284,299
74,33.77744813754648,21.362584126360552,300
75,33.77744813754648,22.508761034557608,300
76,33.77744813754648,22.05363513734408,300
77,34.01452718816906,21.482125513376108,300
78,34.01452718816906,22.048443592664633,297
79,34.01452718816906,22.510722398812433,298
80,34.01452718816906,21.742229274521858,298
81,34.01452718816906,22.236696874264226,299
82,34.01452718816906,22.217000921054673,300
83,34.01452718816906,22.412238531449546,298
84,34.01452718816906,23.281666361894693,299
85,34.01452718816906,22.098523162827934,299
86,34.01452718816906,22.238153472960143,297
87,34.01452718816906,22.271889843939736,298
88,34.01452718816906,21.743102706301144,299
89,34.01452718816906,22.51177209392647,297
90,34.01452718816906,22.539420221101295,295
91,34.98762379618877,22.259425080327905,298
92,35.56135509869543,22.936039279389327,299
93,35.56135509869543,22.42655749283621,298
94,35.56135509869543,22.55075011089641,299
95,35.56135509869543,22.14072919664157,298
96,35.56135509869543,21.791391746942697,299
97,35.56135509869543,22.707150393610917,298
98,35.56135509869543,22.68088186921313,299
99,35.56135509869543,22.382502618243816,296
100,35.56135509869543,22.100913835958835,295
101,35.56135509869543,22.47605521696461,297
102,35.56135509869543,22.799453686602998,300
103,35.56135509869543,22.677709622013648,299
104,35.56135509869543,21.73791811432393,296
105,35.56135509869543,22.06252893614212,293
106,35.56135509869543,22.657822671501147,295
107,35.56135509869543,22.356640585691505,297
108,35.56135509869543,22.32327152877601,295
109,35.56135509869543,22.21704058400037,298
110,35.882371422717014,22.324058332633257,297
111,35.882371422717014,22.350604160163417,296
112,35.882371422717014,22.43661549601604,300
113,35.882371422717014,22.657425242234424,298
114,35.882371422717014,22.84886818812865,297
115,35.882371422717014,22.953816380196027,299
116,35.882371422717014,22.52470477556347,297
117,35.882371422717014,22.062899560753117,299
118,35.882371422717014,22.481171638840355,297
119,35.882371422717014,23.37094323251935,299
120,35.882371422717014,22.99633358610235,298
121,35.882371422717014,22.851166785907377,297
122,35.882371422717014,22.905738652863793,297
123,35.882371422717014,23.2375535278957,299
124,35.882371422717014,23.13532515985458,300
125,35.882371422717014,23.28005343876137,300
126,36.210217881292245,23.00159995177245,300
127,36.210217881292245,22.649719311165104,294
128,36.210217881292245,22.522586863335665,298
129,36.210217881292245,22.35817668176226,297
130,36.210217881292245,23.374842776375637,299
131,36.210217881292245,23.004235945275237,298
132,36.210217881292245,22.559065918938355,295
133,36.210217881292245,22.25014159785041,298
134,36.210217881292245,22.24081834476449,299
135,36.210217881292245,22.374928211435286,298
136,36.210217881292245,21.947189596799,297
137,36.210217881292245,23.423261907156665,298
138,36.210217881292245,22.531570315659955,298
139,36.210217881292245,21.99543497014607,297
140,36.210217881292245,21.230330492127695,296
141,37.1869271224643,22.35609510462542,296
142,37.1869271224643,22.60825329054771,299
143,37.1869271224643,22.344362200858296,297
144,37.1869271224643,22.27596496325845,300
145,37.1869271224643,22.580684312010867,300
146,37.1869271224643,22.824613815418566,298
147,37.1869271224643,21.999271356914765,298
148,37.1869271224643,21.946787068221976,300
149,37.1869271224643,22.557436080493417,299
150,37.1869271224643,22.82116625601796,296
151,37.1869271224643,23.197762364444294,300
152,37.1869271224643,22.46470608073161,299
153,37.1869271224643,22.795864389021258,299
154,37.1869271224643,23.14837404387714,300
155,37.1869271224643,22.37834090893953,300
156,37.1869271224643,22.967941733039282,300
157,37.1869271224643,22.892413475594335,299
158,37.1869271224643,22.685890158687407,299
159,37.1869271224643,22.08722293272939,299
160,37.1869271224643,22.60835352144756,298
161,37.1869271224643,22.707860997786852,299
162,37.1869271224643,22.675661782761694,299
163,37.1869271224643,22.229551930382044,299
164,37.1869271224643,22.61869083734162,297
165,37.1869271224643,22.694068652850536,297
166,37.43964210094938,23.27939272769169,299
167,37.43964210094938,23.003558743687243,300
168,37.43964210094938,22.673369034271765,298
169,37.43964210094938,22.990926312452068,296
170,37.43964210094938,23.397743744744854,298
171,37.43964210094938,23.51253774497421,297
172,37.43964210094938,23.03329015555857,299
173,37.43964210094938,22.842903268920907,294
174,37.43964210094938,22.496067698255057,294
175,37.43964210094938,23.11745994734416,299
176,37.43964210094938,24.077869741507325,298
177,37.43964210094938,23.345145278321336,299
178,37.43964210094938,23.050741026376322,298
179,37.43964210094938,23.076361126421553,297
180,37.43964210094938,23.525785611525375,299
181,37.43964210094938,23.3341937277127,296
182,37.43964210094938,23.18818035335246,298
183,37.43964210094938,22.896314447699332,295
184,37.43964210094938,23.337406114070486,297
185,37.43964210094938,22.902362925337844,298
186,37.43964210094938,22.669391127846293,297
187,37.43964210094938,22.577176226284724,298
188,37.43964210094938,22.781428407008377,295
189,37.43964210094938,23.373710562939458,298
190,37.43964210094938,23.75180391039057,298
191,37.43964210094938,23.554048147971603,297
192,37.43964210094938,23.31629082166847,294
193,37.43964210094938,22.946899238484047,295
194,37.43964210094938,23.58649529077969,296
195,37.43964210094938,23.678973632251846,297
196,37.43964210094938,23.356992393997768,299
197,37.43964210094938,23.193964938600267,294
198,37.43964210094938,23.368872603191914,295
199,37.43964210094938,22.695102406855074,296
200,37.43964210094938,22.76653240148185,293
201,37.43964210094938,23.567427269113068,296
202,37.43964210094938,22.75504410303827,294
203,37.43964210094938,22.820518681294754,290
204,37.43964210094938,23.210274000741688,296
205,37.43964210094938,23.65448246484416,297
206,37.43964210094938,23.189914313256025,297
207,37.43964210094938,22.62728123507304,296
208,37.43964210094938,23.154988086295447,296
209,37.43964210094938,23.69203348031573,298
210,37.43964210094938,23.142584179665754,294
211,37.543801652892554,22.91552423955801,295
212,37.543801652892554,22.777145428123927,297
213,37.543801652892554,22.956033308785013,294
214,37.543801652892554,23.508980686193663,295
215,37.543801652892554,23.384004328912376,295
216,37.576244792022386,22.990591776632456,299
217,37.576244792022386,23.769125533573693,294
218,37.576244792022386,23.78631612926881,298
219,37.576244792022386,23.20248509720871,295
220,38.09601803155521,23.750246298375576,298
221,38.09601803155521,23.1976745633227,299
222,38.09601803155521,22.876521686011188,296
223,38.09601803155521,23.044323061753396,295
224,38.09601803155521,23.08135013288102,297
225,38.09601803155521,23.37407918249665,292
226,38.09601803155521,22.90352172335192,296
227,38.09601803155521,23.40801963234418,295
228,38.09601803155521,23.625282414015302,296
229,38.09601803155521,23.49808358545896,298
230,38.09601803155521,23.47671023735578,297
231,38.09601803155521,23.139252570083674,295
232,38.09601803155521,23.069828802161158,294
233,38.09601803155521,23.373208484675803,298
234,38.09601803155521,22.678198766873855,292
235,38.09601803155521,22.79264024712549,297
236,38.09601803155521,23.00184682914381,298
237,38.09601803155521,23.477073005435177,299
238,38.09601803155521,23.2089159449208,294
239,38.09601803155521,22.59820958725883,297
240,38.09601803155521,23.445329490214394,296
241,38.09601803155521,22.659974882732538,294
242,38.09601803155521,22.877795325660088,296
243,38.09601803155521,23.360712154462426,293
244,38.09601803155521,22.56937189005833,296
245,38.09601803155521,23.673802698239363,294
246,38.09601803155521,23.62183059457787,293
247,38.09601803155521,23.508617547108248,287
248,38.09601803155521,24.091182304474046,299
249,38.09601803155521,23.695315814758775,298
250,38.09601803155521,23.279062422526707,295
251,38.09601803155521,23.30693549951993,294
252,38.09601803155521,23.283615574382434,294
253,38.09601803155521,23.475092365227294,297
254,38.09601803155521,23.628841203511005,295
255,38.09601803155521,22.947636169240795,295
256,38.09601803155521,23.284325164068672,295
257,38.09601803155521,23.289106729262066,296
258,38.09601803155521,23.30526074542952,294
