generation,best_fitness,avg_fitness,diversity
171,3251861.0,2932581.7883333336,298
172,3251861.0,2929821.52,299
173,3251861.0,2935490.055,300
174,3251861.0,2919975.43,299
175,3251861.0,2924960.935,298
176,3251861.0,2942494.7883333336,299
177,3251861.0,2930922.5566666666,297
178,3251861.0,2921981.92,299
179,3251861.0,2923479.5433333335,299
180,3251861.0,2945567.05,296
181,3251861.0,2933669.695,300
182,3253166.0,2905522.17,296
183,3253166.0,2931076.19,297
184,3253166.0,2934369.3366666664,299
185,3253166.0,2937218.4783333335,298
186,3253166.0,2928667.946666667,300
187,3253166.0,2912618.185,299
188,3253166.0,2946539.7783333333,296
189,3253166.0,2942288.316666667,295
190,3253166.0,2925278.401666667,297
191,3253166.0,2932914.5433333335,299
192,3253166.0,2925870.098333333,297
193,3253166.0,2926758.1933333334,297
194,3253166.0,2943389.08,297
195,3253166.0,2939937.776666667,298
196,3253166.0,2936897.615,296
197,3253166.0,2928822.0633333335,300
198,3253166.0,2934362.736666667,298
199,3253166.0,2942626.365,298
200,3253166.0,2940727.8316666665,297
201,3253166.0,2945683.1233333335,297
202,3253166.0,2937763.1083333334,299
203,3253166.0,2922279.4633333334,300
204,3253166.0,2938003.3866666667,297
205,3253166.0,2941449.816666667,300
206,3253166.0,2930020.5516666668,293
207,3253166.0,2932949.6766666668,294
208,3253166.0,2922973.928333333,297
209,3253166.0,2934273.8433333333,297
210,3253166.0,2932368.4783333335,298
211,3253166.0,2920192.9066666667,298
212,3253166.0,2928057.328333333,299
213,3253166.0,2929396.1816666666,299
214,3253166.0,2939773.3233333332,297
215,3253166.0,2923336.57,299
216,3253166.0,2935671.2983333333,299
217,3253166.0,2942549.5516666668,299
218,3253166.0,2929217.428333333,299
219,3253166.0,2936255.185,295
220,3253166.0,2924047.005,299
221,3253166.0,2935709.8766666665,297
222,3253166.0,2942306.3466666667,299
223,3253166.0,2936035.703333333,298
224,3253166.0,2938420.566666667,297
225,3253166.0,2947748.11,296
226,3253166.0,2928532.716666667,296
227,3253166.0,2937309.7483333335,298
228,3253166.0,2927569.171666667,296
229,3253166.0,2932595.55,298
230,3253166.0,2925413.4583333335,296
231,3253166.0,2931005.805,300
232,3253166.0,2937522.49,295
233,3253166.0,2939466.7183333333,300
234,3253166.0,2934040.8316666665,297
235,3253166.0,2928117.243333333,300
236,3253166.0,2922127.6166666667,298
237,3253166.0,2924440.7716666665,298
238,3253166.0,2927413.97,299
239,3253166.0,2909173.775,299
240,3253166.0,2931760.365,298
241,3253166.0,2931353.3383333334,299
242,3253166.0,2922265.5183333335,298
243,3253166.0,2924049.348333333,300
244,3253166.0,2930765.185,300
245,3253166.0,2931195.705,299
246,3253166.0,2940048.5016666665,298
247,3253166.0,2933494.6166666667,297
248,3253166.0,2934000.165,296
249,3253166.0,2956561.1083333334,296
250,3253166.0,2926925.92,299
251,3253166.0,2938919.415,298
252,3253166.0,2922228.245,298
253,3253166.0,2935924.145,299
254,3253166.0,2934080.585,297
255,3253166.0,2928480.7016666667,299
256,3253166.0,2934000.455,299
257,3253166.0,2938424.158333333,298
258,3253166.0,2936275.321666667,295
259,3253166.0,2949414.3766666665,298
260,3253166.0,2927720.0883333334,298
261,3253166.0,2931327.6,298
262,3253166.0,2930049.3,299
263,3253166.0,2927024.3066666666,300
264,3253166.0,2940956.941666667,297
265,3253166.0,2940331.98,297
266,3253166.0,2941849.01,296
267,3253166.0,2935354.4833333334,297
268,3253166.0,2936448.953333333,298
269,3253166.0,2937980.1566666667,299
270,3253166.0,2940484.2716666665,295
271,3253166.0,2935009.565,295
272,3253166.0,2935816.2516666665,296
273,3253166.0,2942513.415,297
274,3253166.0,2938741.2683333335,300
275,3253166.0,2943531.5083333333,296
276,3253166.0,2923253.675,297
277,3253166.0,2941148.4166666665,296
278,3253166.0,2930882.745,299
279,3253166.0,2943926.5766666667,297
280,3253166.0,2938415.223333333,294
281,3253166.0,2939414.51,295
282,3253166.0,2929922.59,298
283,3253166.0,2918954.763333333,298
284,3253166.0,2932621.4433333334,299
285,3253166.0,2930491.325,300
286,3253166.0,2929379.18,300
287,3253166.0,2949196.78,297
288,3253166.0,2934530.955,299
289,3253166.0,2933657.065,300
290,3253166.0,2928214.966666667,300
291,3253166.0,2940315.43,298
292,3253166.0,2928957.9166666665,297
293,3253166.0,2945999.466666667,298
294,3253166.0,2935805.675,298
295,3253166.0,2941396.671666667,294
296,3253166.0,2935226.52,297
297,3253166.0,2950544.0566666666,299
298,3253166.0,2946633.5483333333,299
299,3253166.0,2950540.73,295
300,3253166.0,2927205.2983333333,298
301,3253166.0,2931554.215,297
302,3253166.0,2940188.03,298
303,3253166.0,2943034.8466666667,298
304,3253166.0,2941834.2783333333,294
305,3253166.0,2925606.365,299
306,3253166.0,2941761.4983333335,295
307,3253166.0,2948703.533333333,297
